,EWMA(0.94),GARCH11_h1,EGARCH11_h1,GJR11_h1,HAR_RV_h1
2010-02-03,-0.009620603924206828,,,,
2010-02-04,0.023387810343764803,,,,
2010-02-05,-0.011179204457020281,,,,
2010-02-08,-0.006438132184179962,,,,
2010-02-09,0.004223187976967385,,,,
2010-02-10,0.0034090347711291935,,,,
2010-02-11,0.013384333061319365,,,,
2010-02-12,0.01104749387070783,,,,
2010-02-16,0.026060333010962333,,,,
2010-02-17,0.02006690316242951,,,,
2010-02-18,0.02051194952531371,,,,
2010-02-19,0.022579822393312715,,,,
2010-02-22,0.016525654278579355,,,,
2010-02-23,0.00943953913547152,,,,
2010-02-24,0.009680969538780643,,,,
2010-02-25,0.010361220410320199,,,,
2010-02-26,0.014753062510507453,,,,
2010-03-01,0.017328828895524173,,,,
2010-03-02,0.011115306439579059,,,,
2010-03-03,0.00847407903767286,,,,
2010-03-04,0.008623847815110941,,,,
2010-03-05,0.017485652800865253,,,,
2010-03-08,-0.04169839881064,,,,
2010-03-09,-0.03702380553707499,,,,
2010-03-10,-0.0397028512614868,,,,
2010-03-11,-0.04126383691799325,,,,
2010-03-12,-0.03919526087690062,,,,
2010-03-15,-0.037689943708300574,,,,
2010-03-16,-0.03344135661957248,,,,
2010-03-17,-0.043552716202086963,,,,
2010-03-18,-0.041112677820129354,,,,
2010-03-19,-0.033816571027517284,,,,
2010-03-22,-0.031131521568843357,,,,
2010-03-23,-0.028392063718104363,,,,
2010-03-24,-0.04081599689302365,,,,
2010-03-25,-0.04034593942295496,,,,
2010-03-26,-0.03746208811779876,,,,
2010-03-29,-0.03342567696998537,,,,
2010-03-30,-0.03757973852546574,,,,
2010-03-31,-0.03144358755788289,,,,
2010-04-01,-0.02757604334438639,,,,
2010-04-05,-0.02541037325397201,,,,
2010-04-06,-0.039293347800271494,,,,
2010-04-07,-0.03128557061566653,,,,
2010-04-08,-0.030446760303951492,,,,
2010-04-09,-0.026983187838400133,,,,
2010-04-12,-0.027666790844334987,,,,
2010-04-13,-0.025010507111900823,,,,
2010-04-14,-0.015540641251493778,,,,
2010-04-15,-0.025111566934406707,,,,
2010-04-16,-0.0006996505804491987,,,,
2010-04-19,-0.016135392794857484,,,,
2010-04-20,-0.01316229940844306,,,,
2010-04-21,-0.015142764243245843,,,,
2010-04-22,-0.013731424337777257,,,,
2010-04-23,-0.012350002913500052,,,,
2010-04-26,-0.010799410977935076,,,,
2010-04-27,0.026555887685706756,,,,
2010-04-28,-0.005715317235148065,,,,
2010-04-29,0.001141201241365658,,,,
2010-04-30,0.01041730056734852,,,,
2010-05-03,0.0038469583412490405,,,,
2010-05-04,0.019858699090681498,,,,
2010-05-05,-0.0008420529481439898,,,,
2010-05-06,0.036316872011962265,,,,
2010-05-07,-0.00026567390870751995,,,,
2010-05-10,0.05032204340113894,,,,
2010-05-11,-0.00238132571291233,,,,
2010-05-12,0.010838668311524524,,,,
2010-05-13,0.011994068142598069,,,,
2010-05-14,0.02059828485715426,,,,
2010-05-17,0.014352427959827052,,,,
2010-05-18,0.02405030490403115,,,,
2010-05-19,0.02242789911828519,,,,
2010-05-20,0.05439460345800734,,,,
2010-05-21,0.02457181073437642,,,,
2010-05-24,0.025372620152882552,,,,
2010-05-25,0.02991112714900146,,,,
2010-05-26,0.030696917456932926,,,,
2010-05-27,0.06314943003567458,,,,
2010-05-28,0.03578856012658549,,,,
2010-06-01,0.039794185640739166,,,,
2010-06-02,0.05208723100548229,,,,
2010-06-03,0.03519764063992703,,,,
2010-06-04,0.06327522631988214,,,,
2010-06-07,0.022023068219146125,,,,
2010-06-08,0.02765073945647739,,,,
2010-06-09,-0.010911660026502734,,,,
2010-06-10,0.019885815149240038,,,,
2010-06-11,0.0017233223236102768,,,,
2010-06-14,0.008236876044850017,,,,
2010-06-15,0.023579178975036807,,,,
2010-06-16,0.018240809418342774,,,,
2010-06-17,0.02331233969222657,,,,
2010-06-18,0.03094728208772618,,,,
2010-06-21,0.00426253655436426,,,,
2010-06-22,0.015232856766526137,,,,
2010-06-23,0.010375022961425895,,,,
2010-06-24,0.02474071456854071,,,,
2010-06-25,0.02287060112323583,,,,
2010-06-28,0.0026840500474821505,,,,
2010-06-29,0.028772126200298287,,,,
2010-06-30,0.0008132707720203691,,,,
2010-07-01,-0.014279878536951923,,,,
2010-07-02,-0.00837667268916642,,,,
2010-07-06,-0.030950479762000715,,,,
